x y
0.57418813 -0.02764287
0.59391803 -0.02230899
0.61278810 -0.01668434
0.63076049 -0.01088588
0.64787816 -0.00520690
0.66414746 0.00022921
0.67736609 0.00442263
0.68749690 0.00732907
0.69580078 0.00942178
0.70297375 0.01093894
0.70944646 0.01210853
0.71551215 0.01306370
0.72141834 0.01384973
0.72738406 0.01448543
0.73363115 0.01496566
0.74043424 0.01526746
0.74814302 0.01533864
0.75730736 0.01506204
0.76743339 0.01430548
0.77673123 0.01301473
0.78530400 0.01173462
999.90000000 999.90000000
1.00000062 -0.08675607
0.99761172 -0.08510237
0.99506969 -0.08334361
0.99237060 -0.08147623
0.98951053 -0.07949664
0.98648318 -0.07740202
0.98324223 -0.07525666
0.97973899 -0.07312672
0.97603235 -0.07092400
0.97212468 -0.06864420
0.96800498 -0.06630576
0.96367324 -0.06391169
0.95913104 -0.06147214
0.95437602 -0.05900067
0.94942076 -0.05649556
0.94427152 -0.05395827
0.93894480 -0.05139053
0.93344375 -0.04881322
0.92777778 -0.04624196
0.92196653 -0.04367979
0.91602256 -0.04114247
0.90996237 -0.03864557
0.90380716 -0.03619471
0.89757106 -0.03381429
0.89127449 -0.03152224
0.88494102 -0.02932261
0.87859419 -0.02722111
0.87225679 -0.02522901
0.86595236 -0.02334699
0.85970449 -0.02157522
0.85353514 -0.01991744
0.84746317 -0.01837684
0.84150664 -0.01695921
0.83567968 -0.01568262
0.82999644 -0.01454460
0.82447261 -0.01354694
0.81911919 -0.01269775
0.81394875 -0.01197549
0.80896992 -0.01137459
0.80418978 -0.01089355
0.79961381 -0.01051332
0.79524516 -0.01023473
0.79108384 -0.01006080
0.78713062 -0.00997348
0.78338472 -0.00996892
0.77984323 -0.01003672
0.77650216 -0.01015856
0.77335599 -0.01031684
0.77039814 -0.01050525
0.76762296 -0.01072181
0.76502290 -0.01096351
0.76259183 -0.01123308
0.76032207 -0.01152523
0.75820826 -0.01184895
0.75624390 -0.01220441
0.75442514 -0.01260133
0.75274404 -0.01302924
0.75119848 -0.01349312
0.74977583 -0.01397635
0.74848062 -0.01449086
